"","Fecha","Último","Apertura","Máximo","Mínimo","X..var."
"1",2022-05-11,1.0527,1.0529,1.0537,1.0526,"-0,02%"
"2",2022-05-10,1.0529,1.0564,1.0586,1.0525,"-0,32%"
"3",2022-05-09,1.0563,1.0533,1.0592,1.0495,"0,14%"
"4",2022-05-06,1.0548,1.054,1.0599,1.0483,"0,08%"
"5",2022-05-05,1.054,1.0621,1.0642,1.0493,"-0,76%"
"6",2022-05-04,1.0621,1.0524,1.0631,1.0506,"0,96%"
"7",2022-05-03,1.052,1.0502,1.0579,1.0491,"0,10%"
"8",2022-05-02,1.051,1.0536,1.0567,1.0491,"-0,30%"
"9",2022-04-29,1.0541,1.0498,1.0593,1.0491,"0,45%"
"10",2022-04-28,1.0494,1.0557,1.0566,1.0471,"-0,58%"
"11",2022-04-27,1.0555,1.0638,1.0655,1.0513,"-0,76%"
"12",2022-04-26,1.0636,1.0713,1.074,1.0635,"-0,70%"
"13",2022-04-25,1.0711,1.0841,1.0842,1.0697,"-0,77%"
"14",2022-04-22,1.0794,1.0838,1.0853,1.077,"-0,39%"
"15",2022-04-21,1.0836,1.0853,1.0937,1.0824,"-0,13%"
"16",2022-04-20,1.085,1.0788,1.0868,1.0783,"0,59%"
"17",2022-04-19,1.0786,1.0783,1.0815,1.0761,"0,06%"
"18",2022-04-18,1.078,1.0805,1.0822,1.0769,"-0,24%"
"19",2022-04-15,1.0806,1.0828,1.0832,1.0796,"-0,19%"
"20",2022-04-14,1.0827,1.0887,1.0925,1.0757,"-0,53%"
"21",2022-04-13,1.0885,1.083,1.0896,1.0809,"0,54%"
"22",2022-04-12,1.0826,1.0882,1.0905,1.0821,"-0,52%"
"23",2022-04-11,1.0883,1.0935,1.0951,1.0872,"0,06%"
"24",2022-04-08,1.0876,1.0879,1.0892,1.0836,"-0,02%"
"25",2022-04-07,1.0878,1.0893,1.0939,1.0864,"-0,14%"
"26",2022-04-06,1.0893,1.0906,1.0939,1.0874,"-0,09%"
"27",2022-04-05,1.0903,1.0973,1.099,1.0899,"-0,61%"
"28",2022-04-04,1.097,1.1039,1.1056,1.096,"-0,75%"
"29",2022-04-01,1.1053,1.1065,1.1077,1.1027,"-0,11%"
"30",2022-03-31,1.1065,1.1158,1.1185,1.1061,"-0,82%"
"31",2022-03-30,1.1156,1.1087,1.1171,1.1083,"0,64%"
"32",2022-03-29,1.1085,1.098,1.1137,1.097,"0,97%"
"33",2022-03-28,1.0978,1.0989,1.1,1.0944,"-0,03%"
"34",2022-03-25,1.0981,1.0994,1.1039,1.0979,"-0,14%"
"35",2022-03-24,1.0996,1.1004,1.1014,1.0965,"-0,07%"
"36",2022-03-23,1.1004,1.1027,1.1044,1.0963,"-0,21%"
"37",2022-03-22,1.1027,1.1018,1.1047,1.096,"0,12%"
"38",2022-03-21,1.1014,1.1059,1.107,1.101,"-0,37%"
"39",2022-03-18,1.1055,1.1091,1.112,1.1003,"-0,31%"
"40",2022-03-17,1.1089,1.1036,1.1138,1.1008,"0,52%"
"41",2022-03-16,1.1032,1.0956,1.1048,1.0948,"0,74%"
"42",2022-03-15,1.0951,1.094,1.102,1.0926,"0,11%"
"43",2022-03-14,1.0939,1.0943,1.0994,1.09,"0,28%"
"44",2022-03-11,1.0909,1.0984,1.1044,1.0901,"-0,67%"
"45",2022-03-10,1.0983,1.1075,1.1121,1.0976,"-0,83%"
"46",2022-03-09,1.1075,1.0903,1.1096,1.089,"1,61%"
"47",2022-03-08,1.0899,1.0855,1.096,1.0848,"0,43%"
"48",2022-03-07,1.0852,1.0953,1.0953,1.0805,"-0,68%"
"49",2022-03-04,1.0926,1.1068,1.1069,1.0886,"-1,25%"
"50",2022-03-03,1.1064,1.1118,1.1125,1.1033,"-0,51%"
"51",2022-03-02,1.1121,1.1127,1.1147,1.1057,"-0,04%"
"52",2022-03-01,1.1126,1.1218,1.1234,1.109,"-0,83%"
"53",2022-02-28,1.1219,1.1179,1.1247,1.1122,"-0,43%"
"54",2022-02-25,1.1267,1.1192,1.1275,1.1165,"0,68%"
"55",2022-02-24,1.1191,1.1313,1.1314,1.1106,"-1,04%"
"56",2022-02-23,1.1309,1.1327,1.1359,1.13,"-0,14%"
"57",2022-02-22,1.1325,1.1312,1.1367,1.1287,"0,13%"
"58",2022-02-21,1.131,1.1315,1.1391,1.1306,"-0,10%"
"59",2022-02-18,1.1321,1.1362,1.1378,1.1314,"-0,34%"
"60",2022-02-17,1.136,1.1374,1.1386,1.1322,"-0,11%"
"61",2022-02-16,1.1373,1.136,1.1396,1.1344,"0,15%"
"62",2022-02-15,1.1356,1.1307,1.1369,1.1301,"0,45%"
"63",2022-02-14,1.1305,1.1344,1.137,1.1279,"-0,39%"
"64",2022-02-11,1.1349,1.1428,1.1431,1.1329,"-0,68%"
"65",2022-02-10,1.1427,1.1429,1.1496,1.1374,"0,04%"
"66",2022-02-09,1.1422,1.1416,1.1449,1.1402,"0,07%"
"67",2022-02-08,1.1414,1.1443,1.145,1.1395,"-0,24%"
"68",2022-02-07,1.1442,1.1468,1.1469,1.1415,"-0,06%"
"69",2022-02-04,1.1449,1.1439,1.1485,1.1411,"0,10%"
"70",2022-02-03,1.1438,1.1306,1.1452,1.1267,"1,19%"
"71",2022-02-02,1.1303,1.127,1.1331,1.1266,"0,30%"
"72",2022-02-01,1.1269,1.1234,1.1279,1.1221,"0,32%"
"73",2022-01-31,1.1233,1.1147,1.1249,1.1138,"0,81%"
"74",2022-01-28,1.1143,1.1146,1.1174,1.1121,"0,00%"
"75",2022-01-27,1.1143,1.124,1.1244,1.1132,"-0,84%"
"76",2022-01-26,1.1237,1.1301,1.1312,1.1235,"-0,55%"
"77",2022-01-25,1.1299,1.1324,1.133,1.1263,"-0,21%"
"78",2022-01-24,1.1323,1.1343,1.1346,1.129,"-0,15%"
